Brand,Product Name,Product URL,Ram,Upc,Discount Percentage,Mrp,Number Of Ratings,Number Of Reviews,Sale Price,Star Rating
Apple,"APPLE iPhone 12 Pro (Graphite, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-graphite-128-gb/p/itm03e5f2595d843?pid=MOBFWBYZBZ7Y56WD,6 GB,MOBFWBYZBZ7Y56WD,7,119900,545,42,110900,4.5
Apple,"APPLE iPhone 12 Pro Max (Graphite, 256 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-graphite-256-gb/p/itm8dbdf0b986725?pid=MOBFWBYZEF6XQ5ZW,6 GB,MOBFWBYZEF6XQ5ZW,6,139900,580,45,130900,4.6
Apple,"APPLE iPhone 12 Pro Max (Graphite, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-graphite-128-gb/p/itm973c298184f51?pid=MOBFWBYZFDGQSDWS,6 GB,MOBFWBYZFDGQSDWS,6,129900,580,45,120900,4.6
Apple,"APPLE iPhone 12 Mini (Black, 128 GB)",https://www.flipkart.com/apple-iphone-12-mini-black-128-gb/p/itm0eb512c195bdf?pid=MOBFWBYZH2AMPNPD,4 GB,MOBFWBYZH2AMPNPD,13,74900,730,63,64900,4.5
Apple,"APPLE iPhone 12 Mini (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-12-mini-blue-128-gb/p/itm9b6cdec9700ee?pid=MOBFWBYZHU58PHCZ,4 GB,MOBFWBYZHU58PHCZ,13,74900,730,63,64900,4.5
Apple,"APPLE iPhone 12 (Black, 128 GB)",https://www.flipkart.com/apple-iphone-12-black-128-gb/p/itmf1f0a58f1ecd7?pid=MOBFWBYZK3HACR72,6 GB,MOBFWBYZK3HACR72,10,84900,2101,180,75900,4.6
Apple,"APPLE iPhone 12 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-12-blue-128-gb/p/itm02853ae92e90a?pid=MOBFWBYZKPTZF9VG,6 GB,MOBFWBYZKPTZF9VG,10,84900,2101,180,75900,4.6
Apple,"APPLE iPhone 12 Pro Max (Silver, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-silver-128-gb/p/itm5a51ba742a17e?pid=MOBFWBYZNSNVGGZC,6 GB,MOBFWBYZNSNVGGZC,6,129900,580,45,120900,4.6
Apple,"APPLE iPhone 12 Mini (Red, 64 GB)",https://www.flipkart.com/apple-iphone-12-mini-red-64-gb/p/itm255dd64643767?pid=MOBFWBYZNVWGWN2U,6 GB,MOBFWBYZNVWGWN2U,14,69900,740,64,59900,4.5
Apple,"APPLE iPhone 12 Pro Max (Gold, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-gold-128-gb/p/itme3ae592065711?pid=MOBFWBYZQVKT77YH,6 GB,MOBFWBYZQVKT77YH,6,129900,580,45,120900,4.6
Apple,"APPLE iPhone 12 (Green, 128 GB)",https://www.flipkart.com/apple-iphone-12-green-128-gb/p/itm4e0a120f7d9c4?pid=MOBFWBYZQXUEHF48,6 GB,MOBFWBYZQXUEHF48,10,84900,2092,178,75900,4.6
Apple,"APPLE iPhone 12 Pro (Pacific Blue, 512 GB)",https://www.flipkart.com/apple-iphone-12-pro-pacific-blue-512-gb/p/itm8a39d6779b04e?pid=MOBFWBYZTHSXKMGW,4 GB,MOBFWBYZTHSXKMGW,6,149900,545,42,140900,4.5
Apple,"APPLE iPhone 12 (White, 64 GB)",https://www.flipkart.com/apple-iphone-12-white-64-gb/p/itm8b88bdc03cd79?pid=MOBFWBYZTK33MBG9,6 GB,MOBFWBYZTK33MBG9,11,79900,2101,180,70900,4.6
Apple,"APPLE iPhone 12 (Black, 64 GB)",https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP,6 GB,MOBFWBYZU5FWK2VP,11,79900,2092,178,70900,4.6
Apple,"APPLE iPhone 12 (Red, 128 GB)",https://www.flipkart.com/apple-iphone-12-red-128-gb/p/itma7bd86885ed98?pid=MOBFWBYZUHPFWQRD,6 GB,MOBFWBYZUHPFWQRD,10,84900,2101,180,75900,4.6
Apple,"APPLE iPhone 12 Mini (Black, 64 GB)",https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F,4 GB,MOBFWBYZXSEGBS6F,14,69900,740,64,59900,4.5
Apple,"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-pacific-blue-128-gb/p/itm97c833296c221?pid=MOBFWBYZXYSCEEEH,6 GB,MOBFWBYZXYSCEEEH,7,119900,545,42,110900,4.5
Apple,"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-pacific-blue-128-gb/p/itmd89812b558a03?pid=MOBFWBYZZABKHZQA,6 GB,MOBFWBYZZABKHZQA,6,129900,580,45,120900,4.6
Apple,"APPLE iPhone 12 Pro Max (Silver, 256 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-silver-256-gb/p/itm30faf74442adb?pid=MOBFWBYZZH4AM8FE,6 GB,MOBFWBYZZH4AM8FE,6,139900,580,45,130900,4.6
Apple,"APPLE iPhone 12 Pro Max (Gold, 256 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-gold-256-gb/p/itm1e0354f5bbc8c?pid=MOBFWBYZZPW8JHQF,6 GB,MOBFWBYZZPW8JHQF,6,139900,580,45,130900,4.6
Apple,"APPLE iPhone 11 (White, 128 GB)",https://www.flipkart.com/apple-iphone-11-white-128-gb/p/itme32df47ea6742?pid=MOBFWQ6B7KKRXDDS,4 GB,MOBFWQ6B7KKRXDDS,8,59900,43707,3357,54999,4.6
Apple,"APPLE iPhone 11 (Red, 128 GB)",https://www.flipkart.com/apple-iphone-11-red-128-gb/p/itm8d14bd0e33a1c?pid=MOBFWQ6BEZTNK59G,4 GB,MOBFWQ6BEZTNK59G,8,59900,43707,3357,54999,4.6
Apple,"APPLE iPhone SE (White, 64 GB)",https://www.flipkart.com/apple-iphone-se-white-64-gb/p/itma00a19e11c81b?pid=MOBFWQ6BGWDVGF3E,2 GB,MOBFWQ6BGWDVGF3E,24,39900,95807,8154,29999,4.5
Apple,"APPLE iPhone SE (Black, 128 GB)",https://www.flipkart.com/apple-iphone-se-black-128-gb/p/itma9285ccc6af28?pid=MOBFWQ6BHUEVZPXD,2 GB,MOBFWQ6BHUEVZPXD,22,44900,95909,8161,34999,4.5
Apple,"APPLE iPhone SE (White, 128 GB)",https://www.flipkart.com/apple-iphone-se-white-128-gb/p/itmc2a0f593a4ad8?pid=MOBFWQ6BJEHMUUZY,2 GB,MOBFWQ6BJEHMUUZY,22,44900,95807,8154,34999,4.5
Apple,"APPLE iPhone SE (Red, 128 GB)",https://www.flipkart.com/apple-iphone-se-red-128-gb/p/itma4202509da171?pid=MOBFWQ6BJTVFKPEJ,2 GB,MOBFWQ6BJTVFKPEJ,22,44900,95909,8161,34999,4.5
Apple,"APPLE iPhone 11 (Black, 128 GB)",https://www.flipkart.com/apple-iphone-11-black-128-gb/p/itm8244e8d955aba?pid=MOBFWQ6BKRYBP5X8,4 GB,MOBFWQ6BKRYBP5X8,8,59900,43470,3331,54999,4.6
Apple,"APPLE iPhone SE (Black, 64 GB)",https://www.flipkart.com/apple-iphone-se-black-64-gb/p/itm4d3d5718a5c95?pid=MOBFWQ6BR3MK7AUG,4 GB,MOBFWQ6BR3MK7AUG,24,39900,95909,8161,29999,4.5
Apple,"APPLE iPhone 11 (Purple, 64 GB)",https://www.flipkart.com/apple-iphone-11-purple-64-gb/p/itm2b8d03427ddac?pid=MOBFWQ6BTFFJKGKE,4 GB,MOBFWQ6BTFFJKGKE,14,54900,43470,3331,46999,4.6
Apple,"APPLE iPhone 11 (White, 64 GB)",https://www.flipkart.com/apple-iphone-11-white-64-gb/p/itmfc6a7091eb20b?pid=MOBFWQ6BVWVEH3XE,4 GB,MOBFWQ6BVWVEH3XE,14,54900,43470,3331,46999,4.6
Apple,"APPLE iPhone 11 (Black, 64 GB)",https://www.flipkart.com/apple-iphone-11-black-64-gb/p/itm4e5041ba101fd?pid=MOBFWQ6BXGJCEYNY,4 GB,MOBFWQ6BXGJCEYNY,14,54900,43470,3331,46999,4.6
Apple,"APPLE iPhone 11 (Red, 64 GB)",https://www.flipkart.com/apple-iphone-11-red-64-gb/p/itmc3935326f2feb?pid=MOBFWQ6BYYV3FCU7,4 GB,MOBFWQ6BYYV3FCU7,14,54900,43470,3331,46999,4.6
